date,nlikes,nretweets,nreplies,comp,pos,neutral,neg
2021-12-22,-0.9929471373732099,-0.9938597955738587,-0.9990924261498375,0,0.0,1.0,0.0
2021-12-23,-0.9803653100494106,-0.9817679831314424,-0.9588273755501557,0,0.11,0.7726666666666667,0.11716666666666666
2021-12-24,-0.9994933232771541,-0.9999072476672788,-0.9994144684837661,1,0.244,0.724,0.033
2021-12-28,-0.9992187122288941,-0.9984788617433729,-0.9862985625201276,1,0.272,0.728,0.0
2021-12-29,-0.9988280683433411,-0.9992487061049585,-0.9966331937816553,0,0.0,0.8985,0.10149999999999999
2021-12-30,-0.9770254982159952,-0.983638488507986,-0.8998155575723863,1,0.185,0.815,0.0
2022-01-01,-0.9920449820632572,-0.9972429369098633,-0.9924027285768656,0,0.08675000000000001,0.792125,0.12137500000000001
2022-01-02,-0.9910461327222271,-0.9926540152484835,-0.9528939895189859,0,0.0335,0.9665,0.0
2022-01-03,-0.9999883967162707,-1.0,-1.0,1,0.183,0.817,0.0
2022-01-04,-0.9987391098347499,-0.9988498710742575,-0.9951400884152589,1,0.193,0.807,0.0
2022-01-05,-0.9999110414914087,-0.9999814495334558,-0.9997657873935064,0,0.118,0.79,0.092
2022-01-06,-0.9991735883477246,-0.9991466785389652,-0.9965258463370125,0,0.09166666666666667,0.8506666666666667,0.057666666666666665
2022-01-07,-0.9998220829828175,-0.9999443486003673,-0.9997657873935064,0,0.0,1.0,0.0
2022-01-08,-0.999918777013895,-0.9999628990669115,-0.9996779576660714,0,0.0535,0.9465,0.0
2022-01-11,-0.9974356742958257,-0.9975513384161612,-0.9678250431829494,1,0.1965,0.8035,0.0
2022-01-12,-0.9995706785020161,-0.9996289906691154,-0.9912170272564921,1,0.292,0.708,0.0
2022-01-13,-0.9999066902600102,-0.9999489862170033,-0.9983239160347805,0,0.052750000000000005,0.900625,0.0465
2022-01-14,-0.7511931076494648,-0.8186098280371752,-0.5542582779518107,0,0.1162,0.8394,0.0444
2022-01-15,-0.998584399385026,-0.9989982748066114,-0.9949644289603888,0,0.098,0.845,0.057
2022-01-16,-0.999961322387569,-1.0,-0.9999414468483766,0,0.039,0.961,0.0
2022-01-18,-0.9839352536767906,-0.9912905559574823,-0.9166788652399216,0,0.132,0.868,0.0
2022-01-19,-0.9998859010433286,-0.9999907247667279,-0.9998243405451298,0,0.1075,0.8560000000000001,0.0365
2022-01-20,-0.994980290533332,-0.9961384112143754,-0.9988191781089283,0,0.03733333333333333,0.8971666666666667,0.0655
2022-01-21,-0.7196453262940079,-0.9118945591481625,-0.7739262815821062,0,0.144,0.7545,0.1015
2022-01-23,-0.9982943172917936,-0.9996970090464441,-0.9982434054512984,0,0.21733333333333335,0.6743333333333333,0.10833333333333334
2022-01-24,-0.9999561653725781,-0.9999876330223039,-0.999902411413961,0,0.09333333333333332,0.8153333333333334,0.09100000000000001
2022-01-25,0.5701950318606832,0.035282987367132285,0.7386187311532043,1,0.4,0.6,0.0
2022-01-26,-0.9999806611937845,-1.0,-1.0,1,0.165,0.778,0.056
2022-01-27,-0.9997534302207525,-0.9998376834177379,-0.9993998301958603,0,0.027250000000000003,0.9435,0.028999999999999998
2022-01-28,-0.9831810402343863,-0.9883039308438607,-0.9977749802383113,0,0.0,1.0,0.0
2022-01-29,-0.9997176534292538,-0.9997031925352923,-0.9975993207834412,0,0.117,0.883,0.0
2022-01-30,-0.9996635047718504,-0.9997402934683808,-0.998184852299675,0,0.0,1.0,0.0
2022-01-31,-0.9951208191918313,-0.996345558090786,-0.9971601721462657,0,0.095,0.8855,0.0195
2022-02-01,-0.9541631615080401,-0.967746922168426,-0.8996789335519317,0,0.10366666666666667,0.8963333333333333,0.0
2022-02-02,-0.9762326071611599,-0.9832674791771013,-0.9238223497379746,0,0.08333333333333333,0.9166666666666666,0.0
